path,loc_approx,class_count,function_count,async_function_count,import_count,internal_import_count,entry_point_markers,config_reads,file_io_hits,subprocess_usage,network_usage,top_level_execution,test_reference_count,parse_status,syntax_error
scripts/analysis/phase1_duplicate_formula_identity_closure.py,366,0,10,0,9,2,"[""__main__"", ""function:main""]",0,0,0,0,True,1,OK,
scripts/analysis/phase1_run15a_quantity_role_adjudication.py,885,0,7,0,9,0,"[""__main__"", ""function:main""]",0,0,2,0,False,1,OK,
scripts/analysis/phase1_run1_feature_truth.py,876,0,14,0,17,2,"[""__main__"", ""function:main""]",1,2,2,0,True,1,OK,
scripts/analysis/pit_phaseC_feature_certification.py,252,0,8,0,11,2,"[""__main__"", ""function:main""]",0,1,0,0,True,1,OK,
scripts/analysis/pit_swing_blast_radius.py,975,0,17,0,20,6,"[""__main__"", ""function:main""]",1,1,0,0,True,0,OK,
scripts/analysis/pit_swing_gateon_ab.py,577,3,15,0,20,6,"[""__main__"", ""function:main"", ""function:run""]",4,4,0,0,True,0,OK,
scripts/analysis/process_characterizer.py,99,0,3,0,10,1,"[""__main__"", ""function:main""]",0,0,1,0,True,0,OK,
scripts/analysis/process_diagnostics.py,110,0,4,0,10,1,"[""__main__"", ""function:main""]",0,0,1,0,True,1,OK,
scripts/analysis/purge_delay_scan.py,526,0,13,0,6,0,"[""__main__"", ""function:main""]",0,6,0,0,False,0,OK,
scripts/analysis/purge_slice.py,165,0,8,0,7,0,"[""__main__"", ""function:main""]",0,1,0,0,False,0,OK,
scripts/analysis/python_source_static_census.py,377,0,14,0,7,0,"[""__main__"", ""function:main""]",0,2,0,0,False,0,OK,
scripts/analysis/reachability_validation_report.py,81,0,5,0,5,0,"[""__main__"", ""function:main""]",2,0,0,0,False,0,OK,
scripts/analysis/rr_confidence_probe.py,306,0,10,0,9,3,"[""__main__"", ""function:main""]",0,5,0,0,True,0,OK,
scripts/analysis/schema_audit.py,65,0,3,0,6,1,"[""__main__"", ""function:main""]",0,1,0,0,False,0,OK,
scripts/analysis/session_cost_audit.py,114,0,5,0,4,0,"[""__main__"", ""function:main""]",0,1,0,0,False,0,OK,
scripts/analysis/session_override_scoping_proof.py,73,0,1,0,5,1,"[""__main__"", ""function:main""]",0,0,0,0,True,0,OK,
