"File","LOC"
".\.claude\worktrees\elegant-dubinsky-a2b441\src\control_plane\jobs.py","396"
".\scripts\training\auto_tuner_gemini_gate.py","395"
".\scripts\research\edge_attribution_study.py","395"
".\.claude\worktrees\xenodochial-rhodes-8e28b3\scripts\training\auto_tuner_gemin_pro.py","395"
".\.claude\worktrees\xenodochial-rhodes-8e28b3\src\runtime\live_engine_hook.py","391"
".\src\config_layer\config_validator.py","390"
".\src\replay\replay_memory_engine.py","389"
".\src\config_layer\rr\rr_pattern_miner.py","388"
".\.claude\worktrees\wizardly-neumann-923c0e\trainer.py","386"
".\tools\btcusdt_crt_v3_replay.py","385"
".\.claude\worktrees\xenodochial-rhodes-8e28b3\tools\btcusdt_crt_v3_replay.py","385"
".\archive\inout_legacy\ARCHIVED_2026_05_02\controller.py","378"
".\.claude\worktrees\xenodochial-rhodes-8e28b3\src\inout\controller.py","378"
".\scripts\analysis\p3b_gate_expired_counterfactual_rr.py","377"
".\.claude\worktrees\elegant-dubinsky-a2b441\src\replay\replay_memory_engine.py","377"
".\.claude\worktrees\elegant-dubinsky-a2b441\scripts\analysis\p3b_gate_expired_counterfactual_rr.py","377"
".\.claude\worktrees\xenodochial-rhodes-8e28b3\src\core\fusion_engine.py","376"
".\.claude\worktrees\wizardly-neumann-923c0e\auto_tuner_gemin_pro.py","375"
".\scripts\validate_integration.py","369"
".\.claude\worktrees\elegant-dubinsky-a2b441\scripts\validate_integration.py","369"
".\.claude\worktrees\xenodochial-rhodes-8e28b3\src\features\feature_pipeline.py","368"
".\.claude\worktrees\xenodochial-rhodes-8e28b3\src\governance\promotion_manager.py","366"
".\scripts\research\phase0_economic_edge_diagnosis.py","365"
".\.claude\worktrees\xenodochial-rhodes-8e28b3\src\config_layer\config_validator.py","364"
".\scripts\analysis\phase1_duplicate_formula_identity_closure.py","363"
".\.claude\worktrees\great-poitras-daca89\scripts\groq_bridge\ingest_response.py","362"
".\.claude\worktrees\wizardly-neumann-923c0e\phase5_calibration.py","360"
".\.claude\worktrees\elegant-dubinsky-a2b441\src\config_layer\config_validator.py","360"
".\scripts\analysis\p3c_zone_relax_diag.py","358"
".\.claude\worktrees\elegant-dubinsky-a2b441\scripts\analysis\p3c_zone_relax_diag.py","358"
