"File","LOC"
".\.claude\worktrees\elegant-dubinsky-a2b441\src\core\convergence_controller.py","125"
".\.claude\worktrees\xenodochial-rhodes-8e28b3\src\agent\executor.py","125"
".\src\llm_research\pattern_extractor.py","124"
".\src\core\feature_store.py","124"
".\src\strategies\s10_trap_strategy.py","124"
".\src\strategies\s06_scalping.py","124"
".\scripts\analysis\xauusd_strict_reject_forensic.py","124"
".\.claude\worktrees\elegant-dubinsky-a2b441\src\strategies\s10_trap_strategy.py","124"
".\.claude\worktrees\elegant-dubinsky-a2b441\src\strategies\s06_scalping.py","124"
".\.claude\worktrees\xenodochial-rhodes-8e28b3\src\llm_research\pattern_extractor.py","124"
".\.claude\worktrees\wizardly-neumann-923c0e\production_config.py","124"
".\scripts\research\candle_state_report.py","123"
".\src\strategies\s02_mean_reversion.py","123"
".\.claude\worktrees\elegant-dubinsky-a2b441\src\strategies\s02_mean_reversion.py","123"
".\H-SECONDLOW-002_Complete_Package\scripts\research\secondlow_depth_metric_descriptive.py","123"
".\archive\inout_legacy\ARCHIVED_2026_05_02\config.py","122"
".\.claude\worktrees\xenodochial-rhodes-8e28b3\src\inout\config.py","122"
".\.claude\worktrees\xenodochial-rhodes-8e28b3\src\config_layer\crt_gaussian_scorer.py","122"
".\src\strategies\strategy_result.py","121"
".\.claude\worktrees\elegant-dubinsky-a2b441\src\strategies\strategy_result.py","121"
".\archive\dead_code\bitnet\_smoke_test.py","120"
".\src\bitnet\_smoke_test.py","120"
".\src\engines\ml_gaussian_engine.py","120"
".\.claude\worktrees\xenodochial-rhodes-8e28b3\archive\dead_code\bitnet\_smoke_test.py","120"
".\.claude\worktrees\xenodochial-rhodes-8e28b3\src\bitnet\_smoke_test.py","120"
".\.claude\worktrees\xenodochial-rhodes-8e28b3\src\utils\trade_logger.py","120"
".\scripts\groq_bridge\apply_llm_suggestions.py","119"
".\.claude\worktrees\elegant-dubinsky-a2b441\scripts\groq_bridge\apply_llm_suggestions.py","119"
".\src\strategies\s01_crt_wrapper.py","118"
".\src\execution\loop.py","118"
".\src\interpreters\reference.py","117"
".\mt5_analytics\core\mt5_adapter.py","117"
".\.claude\worktrees\elegant-dubinsky-a2b441\mt5_analytics\core\mt5_adapter.py","117"
".\scripts\research\ingest_live_outcomes.py","116"
".\.claude\worktrees\xenodochial-rhodes-8e28b3\src\core\convergence_controller.py","116"
".\src\llm_research\evaluator.py","115"
".\src\strategies\s04_stat_arb.py","115"
".\src\training\phase5_calibration.py","115"
".\src\control_plane\code_context_extractor.py","115"
".\.claude\worktrees\elegant-dubinsky-a2b441\src\strategies\s04_stat_arb.py","115"
".\.claude\worktrees\elegant-dubinsky-a2b441\src\training\phase5_calibration.py","115"
".\.claude\worktrees\xenodochial-rhodes-8e28b3\src\runtime\analyze_fusion_shadow.py","115"
".\src\research\structural_asymmetry.py","113"
".\.claude\worktrees\xenodochial-rhodes-8e28b3\src\training\phase5_calibration.py","113"
".\src\research\weekly_sweep\weekly_range.py","112"
".\scripts\maintenance\rotate_session_log.py","112"
".\.claude\worktrees\elegant-dubinsky-a2b441\src\analytics\metrics_oracle.py","112"
".\src\regime\config_router.py","111"
".\scripts\research\qualify_harvest.py","111"
".\H-SECONDLOW-002_Complete_Package\scripts\research\secondlow_regime_descriptive.py","111"
".\scripts\build_consolidated_docs.py","109"
".\archive\dead_code\config_layer\insight_reporter.py","108"
".\.claude\worktrees\xenodochial-rhodes-8e28b3\archive\dead_code\config_layer\insight_reporter.py","108"
".\.claude\worktrees\elegant-dubinsky-a2b441\src\engines\ml_gaussian_engine.py","108"
".\src\expansion\llm_pattern_extractor.py","106"
".\src\runtime\baseline_capture.py","106"
".\src\agent\plan_compiler.py","106"
".\.claude\worktrees\xenodochial-rhodes-8e28b3\src\expansion\llm_pattern_extractor.py","106"
".\.claude\worktrees\xenodochial-rhodes-8e28b3\src\runtime\baseline_capture.py","106"
".\scripts\research\qualify_carry.py","105"
".\src\governance\reflection_buffer_advanced.py","105"
".\src\research\runner.py","105"
".\scripts\governance\framework_registry_report.py","105"
".\.claude\worktrees\elegant-dubinsky-a2b441\scripts\analysis\gen_flow_graphs.py","105"
".\scripts\analysis\gen_flow_graphs.py","105"
".\scripts\analysis\session_cost_audit.py","105"
".\src\bitnet\forward_tester.py","104"
".\src\config_layer\state_contract.py","104"
".\src\features\dataset_builder.py","104"
".\.claude\worktrees\elegant-dubinsky-a2b441\src\strategies\s01_crt_wrapper.py","104"
".\.claude\worktrees\xenodochial-rhodes-8e28b3\src\bitnet\forward_tester.py","104"
".\.claude\worktrees\xenodochial-rhodes-8e28b3\src\features\dataset_builder.py","104"
".\scripts\research\qualify_cross_sectional.py","103"
".\H-SECONDLOW-002_Complete_Package\scripts\research\secondlow_relaxation_count_diagnostic.py","103"
".\.claude\worktrees\xenodochial-rhodes-8e28b3\src\utils\logging_config.py","103"
".\src\interpreters\contract.py","102"
".\src\research\config.py","101"
".\src\research\hypotheses\weekly_sweep_reversal.py","101"
".\scripts\research\promotion_dryrun.py","101"
".\scripts\research\zone_label_audit.py","101"
".\H-SECONDLOW-002_Complete_Package\scripts\research\append_secondlow_prospective_ledger.py","100"
".\src\data_ingestion\ohlcv_schema.py","99"
".\src\interpreters\point_and_figure.py","99"
".\.claude\worktrees\xenodochial-rhodes-8e28b3\run_regime_search.py","99"
".\run_regime_search.py","99"
".\src\config_layer\config_builder.py","98"
".\src\agent\audit.py","97"
".\.claude\worktrees\xenodochial-rhodes-8e28b3\src\agent\plan_compiler.py","97"
".\build_zone_registry_forced.py","96"
".\.claude\worktrees\xenodochial-rhodes-8e28b3\src\config_layer\config_builder.py","96"
".\.claude\worktrees\wizardly-neumann-923c0e\config_builder.py","96"
".\scripts\analysis\daily_crypto_structure.py","95"
".\scripts\analysis\process_diagnostics.py","95"
".\.claude\worktrees\elegant-dubinsky-a2b441\src\core\feature_store.py","95"
".\H-SECONDLOW-002_Complete_Package\scripts\research\secondlow_v03_depth08_count_diagnostic.py","95"
".\mt5_analytics\core\shared_pipeline.py","94"
".\src\core\acceptance_controller.py","94"
".\H-SECONDLOW-002_Complete_Package\scripts\research\run_h_secondlow_002_v1_confirmatory.py","94"
".\.claude\worktrees\elegant-dubinsky-a2b441\mt5_analytics\core\shared_pipeline.py","94"
".\.claude\worktrees\xenodochial-rhodes-8e28b3\src\bitnet\bitnet_inference.py","94"
".\scripts\training\train_pipeline.py","92"
".\.claude\worktrees\xenodochial-rhodes-8e28b3\src\agent\audit.py","91"
".\mt5_analytics\ui\streamlit_dashboard.py","90"
".\src\strategies\base_strategy.py","90"
".\src\strategies\intent_builder.py","90"
".\H-SECONDLOW-002_Complete_Package\scripts\research\secondlow_incremental_event_descriptive.py","90"
".\.claude\worktrees\elegant-dubinsky-a2b441\mt5_analytics\ui\streamlit_dashboard.py","90"
".\.claude\worktrees\elegant-dubinsky-a2b441\src\strategies\base_strategy.py","90"
".\.claude\worktrees\elegant-dubinsky-a2b441\src\strategies\intent_builder.py","90"
".\src\agent\intent_router.py","89"
".\src\research\adapters\structural_event_source.py","89"
".\.claude\worktrees\xenodochial-rhodes-8e28b3\src\agent\intent_router.py","89"
".\scripts\maintenance\_promote_v4_bnb_cutover.py","89"
".\H-SECONDLOW-002_Complete_Package\scripts\research\xauusd_second_low_forensic_casebook.py","88"
".\src\features\crt_feature_builder.py","87"
".\scripts\research\verify_m5_resample_parity.py","87"
".\.claude\worktrees\xenodochial-rhodes-8e28b3\src\core\feature_store.py","87"
".\mt5_analytics\core\coverage.py","86"
".\src\config_layer\goal_schema.py","86"
".\src\journal\trade_logger.py","86"
".\.claude\worktrees\elegant-dubinsky-a2b441\exec_telemetry\report.py","86"
".\.claude\worktrees\elegant-dubinsky-a2b441\mt5_analytics\core\coverage.py","86"
".\exec_telemetry\report.py","86"
".\scripts\analysis\process_characterizer.py","84"
".\.claude\worktrees\elegant-dubinsky-a2b441\src\features\crt_feature_builder.py","83"
".\src\replay\timing_advisor.py","82"
".\scripts\data\fetch_perp_funding.py","82"
".\scripts\metrics\extract_metrics.py","81"
".\src\research\measurement\metrics.py","80"
".\src\runtime\exit_model_band.py","80"
".\src\multi_llm\context_pack.py","80"
".\.claude\worktrees\xenodochial-rhodes-8e28b3\src\engines\ml_gaussian_engine.py","80"
".\src\events\event_fabric.py","80"
".\.claude\worktrees\elegant-dubinsky-a2b441\src\events\event_fabric.py","79"
".\src\llm_research\policy_builder.py","78"
".\src\research\candle_state\mtf_conjunction.py","78"
".\src\governance\bitnet_governance_executor.py","78"
".\.claude\worktrees\xenodochial-rhodes-8e28b3\scripts\misc\trade_replay_validator.py","78"
".\scripts\governance\query_registry.py","78"
".\scripts\governance\promote_v2.py","77"
".\src\execution\execution_intent_v1_0.py","77"
".\scripts\governance\framework_gap_audit.py","77"
".\.claude\worktrees\elegant-dubinsky-a2b441\scripts\governance\promote_v2.py","77"
".\.claude\worktrees\xenodochial-rhodes-8e28b3\src\core\acceptance_controller.py","77"
".\src\features\registry\__init__.py","76"
".\src\config_layer\goal_validator.py","76"
".\scripts\maintenance\check_session_log_commit.py","76"
".\scripts\tmp_cert_worktrees.py","75"
".\src\multi_llm\discussion.py","75"
".\scripts\misc\run_parity.py","75"
".\.claude\worktrees\xenodochial-rhodes-8e28b3\scripts\misc\run_parity.py","75"
".\scripts\analysis\funnel_diagnosis.py","75"
".\scripts\data\fetch_candles_hummingbot.py","74"
".\src\agent\tool_planner.py","74"
".\src\governance\findings_export.py","74"
".\.claude\worktrees\sad-poitras-df32c8\scripts\data\fetch_candles_hummingbot.py","74"
".\.claude\worktrees\xenodochial-rhodes-8e28b3\src\agent\tool_planner.py","74"
".\scripts\context\seed_build_queue.py","74"
".\src\agent\state.py","73"
".\src\core\signal_belief_tracker.py","73"
".\.claude\worktrees\elegant-dubinsky-a2b441\src\core\signal_belief_tracker.py","73"
".\.claude\worktrees\xenodochial-rhodes-8e28b3\src\agent\state.py","73"
".\scripts\maintenance\check_consolidation_due.py","72"
".\scripts\analysis\zone_registry_builder.py","72"
".\src\research\contracts.py","72"
".\src\agent\cli.py","72"
".\.claude\worktrees\xenodochial-rhodes-8e28b3\scripts\analysis\zone_registry_builder.py","72"
".\.claude\worktrees\elegant-dubinsky-a2b441\mt5_analytics\ui\dashboard_data.py","72"
".\mt5_analytics\ui\dashboard_data.py","72"
".\.claude\worktrees\xenodochial-rhodes-8e28b3\src\agent\cli.py","72"
".\src\config_layer\state_topology.py","70"
".\src\research\candle_state\m5_incremental.py","70"
".\scripts\_gate5_compliance_pass.py","70"
".\scripts\analysis\gen_code_map.py","70"
".\_gate0de_check.py","69"
".\scripts\research\phase6e_shadow_ab.py","69"
".\.claude\worktrees\wizardly-neumann-923c0e\feature_builder.py","69"
".\H-SECONDLOW-002_Complete_Package\scripts\research\xauusd_second_low_mechanism_report.py","69"
".\src\agent\modes\log_query_mode.py","68"
".\src\core\types.py","68"
".\scripts\maintenance\check_governance_invariants.py","68"
".\.claude\worktrees\compassionate-poincare-90f891\decision_engine.py","68"
".\.claude\worktrees\elegant-dubinsky-a2b441\src\core\types.py","68"
".\src\expansion\policy_schema.py","67"
".\src\strategies\strategy_intent.py","67"
".\.claude\worktrees\elegant-dubinsky-a2b441\src\strategies\strategy_intent.py","67"
".\scripts\analysis\reachability_validation_report.py","67"
".\src\research\candle_state\transition_target.py","66"
".\src\research\resample.py","66"
".\src\research\secondlow_v1\depth_metrics.py","66"
".\.claude\worktrees\xenodochial-rhodes-8e28b3\scripts\training\train_pipeline.py","66"
".\.claude\worktrees\xenodochial-rhodes-8e28b3\src\bitnet\stability_checker.py","66"
".\src\bitnet\stability_checker.py","66"
".\scripts\maintenance\cleanup_logs.py","65"
".\scripts\export\regen_bitnet_35.py","65"
".\.claude\worktrees\elegant-dubinsky-a2b441\scripts\maintenance\cleanup_logs.py","65"
".\H-SECONDLOW-002_Complete_Package\scripts\research\count_only_audit_secondlow_v1.py","64"
".\scripts\maintenance\reorganize_results.py","63"
".\scripts\misc\build_zone_registry_from_trades.py","63"
".\src\portfolio\allocator.py","63"
".\scripts\data\fetch_candles_mt5.py","63"
".\.claude\worktrees\elegant-dubinsky-a2b441\scripts\maintenance\reorganize_results.py","63"
".\.claude\worktrees\xenodochial-rhodes-8e28b3\scripts\misc\regen_bit.py","63"
".\scripts\analysis\gen_citation_map.py","63"
".\src\governance\config_integrity.py","62"
".\src\regime\regime_classifier.py","61"
".\src\research\hypotheses\spine_hypothesis.py","61"
".\src\research\secondlow_v1\regime_metrics.py","61"
".\.claude\worktrees\elegant-dubinsky-a2b441\mt5_analytics\schemas\verification_report_v1_0.py","61"
".\mt5_analytics\schemas\verification_report_v1_0.py","61"
".\scripts\governance\query_hypotheses.py","61"
".\src\utils\config_dumper.py","60"
".\scripts\research\bnbusdt_forensics.py","60"
".\.claude\worktrees\elegant-dubinsky-a2b441\src\utils\config_dumper.py","60"
".\src\feedback\ai_feedback.py","59"
".\mt5_analytics\storage\partition_writer.py","59"
".\.claude\worktrees\elegant-dubinsky-a2b441\mt5_analytics\storage\partition_writer.py","59"
".\src\research\candle_state\info_robustness.py","58"
".\src\analytics\performance.py","58"
".\.claude\worktrees\xenodochial-rhodes-8e28b3\src\analytics\performance.py","58"
".\.claude\worktrees\xenodochial-rhodes-8e28b3\src\features\bitnet_feature_builder.py","56"
".\archive\dead_code\features\bitnet_feature_builder.py","56"
".\scripts\analysis\schema_audit.py","56"
".\.claude\worktrees\xenodochial-rhodes-8e28b3\archive\dead_code\features\bitnet_feature_builder.py","56"
".\.claude\worktrees\xenodochial-rhodes-8e28b3\scripts\analysis\schema_audit.py","56"
".\.claude\worktrees\xenodochial-rhodes-8e28b3\scripts\export\regen_bitnet_35.py","56"
".\src\portfolio\capital_policy.py","55"
".\src\scanner\ranker.py","55"
".\.claude\worktrees\wizardly-neumann-923c0e\src\engines\zone_gate_engine.py","55"
".\.claude\worktrees\xenodochial-rhodes-8e28b3\src\governance\reflection_buffer_advanced.py","55"
".\src\core\ultron_risk_gate_wrapper.py","54"
".\src\engines\crt_engine.py","54"
".\src\research\selection_effect.py","54"
".\.claude\worktrees\elegant-dubinsky-a2b441\src\core\ultron_risk_gate_wrapper.py","54"
".\.claude\worktrees\xenodochial-rhodes-8e28b3\src\core\ultron_risk_gate_wrapper.py","54"
".\scripts\analysis\update_reachability_golden.py","54"
".\src\scanner\spine_adapter.py","53"
".\scripts\analysis\session_override_scoping_proof.py","53"
".\.claude\worktrees\elegant-dubinsky-a2b441\src\scanner\spine_adapter.py","53"
".\src\research\candle_state\reporting.py","52"
".\.claude\worktrees\xenodochial-rhodes-8e28b3\src\engines\crt_engine.py","52"
".\src\config_layer\crt_sweep_taxonomy.py","51"
".\src\control_plane\cp_types.py","51"
".\.claude\worktrees\xenodochial-rhodes-8e28b3\src\bitnet\bitnet_runner.py","51"
".\.claude\worktrees\xenodochial-rhodes-8e28b3\src\config_layer\crt_sweep_taxonomy.py","51"
".\src\research\hypotheses\compression_box_straddle.py","50"
".\src\features\derived_math.py","50"
".\src\scanner\scanner.py","50"
".\src\research\hypotheses\compression_breakout.py","50"
".\scripts\update_config_hash.py","50"
".\.claude\worktrees\xenodochial-rhodes-8e28b3\scripts\backtest\run_debug.py","50"
".\.claude\worktrees\wizardly-neumann-923c0e\run_debug.py","50"
".\scripts\backtest\backtest_debug_harness.py","50"
".\_gate0b_check.py","50"
".\archive\ui_legacy\dashboard_ARCHIVED_2026_05_02.py","49"
".\mt5_analytics\engines\entry_tracker.py","49"
".\archive\dead_code\ui\dashboard.py","49"
".\.claude\worktrees\elegant-dubinsky-a2b441\mt5_analytics\engines\entry_tracker.py","49"
".\.claude\worktrees\xenodochial-rhodes-8e28b3\archive\dead_code\ui\dashboard.py","49"
".\mt5_analytics\schemas\position_episode_v1_0.py","48"
".\src\agent\tool_registry.py","48"
".\.claude\worktrees\elegant-dubinsky-a2b441\mt5_analytics\schemas\position_episode_v1_0.py","48"
".\.claude\worktrees\xenodochial-rhodes-8e28b3\src\agent\tool_registry.py","48"
".\results\baseline\_probe_de.py","47"
".\.claude\worktrees\xenodochial-rhodes-8e28b3\src\control_plane\types.py","47"
".\scripts\governance\update_registry.py","46"
".\src\engines\trap_validator_engine.py","46"
".\.claude\worktrees\xenodochial-rhodes-8e28b3\src\engines\adapter_engine.py","46"
".\.claude\worktrees\elegant-dubinsky-a2b441\src\engines\crt_engine.py","46"
".\.claude\worktrees\elegant-dubinsky-a2b441\src\engines\trap_validator_engine.py","46"
".\src\utils\integrity_events.py","45"
".\src\utils\log_index_writer.py","45"
".\.claude\worktrees\xenodochial-rhodes-8e28b3\src\analytics\clustering.py","45"
".\src\analytics\clustering.py","45"
".\src\bitnet\zone_validator.py","44"
".\src\utils\jsonl_writer.py","44"
".\.claude\worktrees\elegant-dubinsky-a2b441\mt5_analytics\core\daemon.py","44"
".\mt5_analytics\core\daemon.py","44"
".\results\trust\_f3_ledger_run.py","43"
".\mt5_analytics\storage\manifest_builder.py","43"
".\scripts\context\log_turn.py","43"
".\src\scanner\signal_pool.py","43"
".\src\execution\override_handler.py","43"
".\.claude\worktrees\elegant-dubinsky-a2b441\mt5_analytics\core\rebuild.py","43"
".\.claude\worktrees\elegant-dubinsky-a2b441\exec_telemetry\schemas\execution_event_v1.py","43"
".\.claude\worktrees\elegant-dubinsky-a2b441\mt5_analytics\storage\manifest_builder.py","43"
".\mt5_analytics\core\rebuild.py","43"
".\exec_telemetry\schemas\execution_event_v1.py","43"
".\src\config_layer\market_router.py","42"
".\src\research\hypotheses\expansion_breakout.py","42"
".\.claude\worktrees\wizardly-neumann-923c0e\market_router.py","42"
".\.claude\worktrees\xenodochial-rhodes-8e28b3\src\config_layer\market_router.py","42"
".\src\interpreters\adapter.py","41"
".\src\research\hypotheses\mean_reversion.py","41"
".\src\utils\pattern_hasher.py","41"
".\.claude\worktrees\elegant-dubinsky-a2b441\src\utils\pattern_hasher.py","41"
".\scripts\research\build_resampled_data.py","41"
".\src\engines\rr_engine.py","41"
".\.claude\worktrees\xenodochial-rhodes-8e28b3\src\engines\rr_engine.py","40"
".\src\journal\trade_identity_v1_0.py","39"
".\scripts\misc\resample_m1_to_m15.py","39"
".\_gate0_check.py","39"
".\src\agent\modes\findings_mode.py","38"
".\scripts\analysis\exit_model_band.py","38"
".\src\scanner\universe.py","37"
".\scripts\data\build_tradenet_dataset.py","37"
".\scripts\context\discussion.py","37"
".\mt5_analytics\engines\features\feature_engine.py","36"
".\.claude\worktrees\xenodochial-rhodes-8e28b3\src\portfolio\correlation_engine.py","36"
".\.claude\worktrees\elegant-dubinsky-a2b441\mt5_analytics\engines\features\feature_engine.py","36"
".\src\expansion\evaluator.py","35"
".\src\portfolio\exposure_tracker.py","35"
".\scripts\export\generate_bootstrap_model.py","35"
".\src\core\backtest_port.py","35"
".\src\research\controls\random_baseline.py","34"
".\mt5_analytics\engines\features\mfe_mae_engine.py","33"
".\mt5_analytics\schemas\run_summary_v1_0.py","33"
".\.claude\worktrees\elegant-dubinsky-a2b441\mt5_analytics\engines\features\mfe_mae_engine.py","33"
".\.claude\worktrees\elegant-dubinsky-a2b441\mt5_analytics\schemas\run_summary_v1_0.py","33"
".\src\research\secondlow_v1\corpus.py","32"
".\src\research\secondlow_v1\__init__.py","32"
".\src\utils\registry_refresh.py","32"
".\src\utils\console_safe.py","32"
".\.claude\worktrees\xenodochial-rhodes-8e28b3\src\utils\console_safe.py","32"
".\.claude\worktrees\elegant-dubinsky-a2b441\mt5_analytics\engines\features\feature_record_builder.py","32"
".\src\expansion\config_mutator.py","32"
".\mt5_analytics\engines\features\feature_record_builder.py","32"
".\scripts\data\check_yfinance.py","31"
".\mt5_analytics\engines\features\session_metrics.py","31"
".\scripts\misc\bitnet_ternary_inference.py","31"
".\src\features\feature_builder.py","31"
".\src\execution\alert_manager.py","31"
".\mt5_analytics\core\checkpoint.py","31"
".\.claude\worktrees\elegant-dubinsky-a2b441\mt5_analytics\engines\features\session_metrics.py","31"
".\.claude\worktrees\elegant-dubinsky-a2b441\mt5_analytics\core\checkpoint.py","31"
".\.claude\worktrees\xenodochial-rhodes-8e28b3\scripts\misc\python_runner.py","31"
".\.claude\worktrees\xenodochial-rhodes-8e28b3\src\features\feature_builder.py","31"
".\.claude\worktrees\xenodochial-rhodes-8e28b3\src\engines\llm_engine.py","31"
".\archive\scripts\run_hisotircal_data_XAUUSD.py","30"
".\archive\scripts\run_hisotircal_data_GBPUSD.py","30"
".\src\journal\trade_execution_link_v1_0.py","30"
".\results\baseline\_probe_er.py","30"
".\.claude\worktrees\xenodochial-rhodes-8e28b3\src\journal\trade_logger.py","30"
".\.claude\worktrees\xenodochial-rhodes-8e28b3\archive\dead_code\journal\trade_logger.py","30"
".\archive\scripts\run_hisotircal_data_EURCAD.py","30"
".\archive\dead_code\journal\trade_logger.py","30"
".\src\features\registry\derived_registry.py","29"
".\src\strategies\__init__.py","29"
".\.claude\worktrees\elegant-dubinsky-a2b441\src\strategies\__init__.py","29"
".\scripts\context\pack_story.py","29"
".\src\core\dynamic_threshold.py","28"
".\scripts\export\export_bitnet_model.py","28"
".\src\journal\schema.py","28"
".\src\features\schema_validator.py","28"
".\archive\dead_code\journal\schema.py","28"
".\.claude\worktrees\xenodochial-rhodes-8e28b3\archive\dead_code\journal\schema.py","28"
".\scripts\data\check_availability.py","28"
".\results\baseline\_p5_probe1.py","28"
".\src\core\governance_mode.py","27"
".\src\data_ingestion\session_autoderive.py","27"
".\src\research\controls\always_long.py","27"
".\.claude\worktrees\elegant-dubinsky-a2b441\mt5_analytics\schemas\feature_v1_0.py","27"
".\.claude\worktrees\xenodochial-rhodes-8e28b3\scripts\export\export_model.py","27"
".\mt5_analytics\schemas\feature_v1_0.py","27"
".\src\journal\trade_provenance_v1_0.py","26"
".\scripts\data\split_bnb_excel.py","26"
".\results\baseline\_p5_more.py","26"
".\scripts\research\inspect_old_runs.py","25"
".\src\engines\llm_engine.py","25"
".\src\research\registry.py","25"
".\results\baseline\_p4_events.py","25"
".\results\baseline\_p5_usage.py","25"
".\scripts\analysis\gen_dummy_trades.py","25"
".\_find_context_calls.py","24"
".\results\baseline\_f50_fc.py","23"
".\scripts\data\convert_binance_m1_to_m15.py","23"
".\src\features\registry\composition_registry.py","23"
".\.claude\worktrees\elegant-dubinsky-a2b441\mt5_analytics\providers\mt5_provider.py","23"
".\mt5_analytics\providers\mt5_provider.py","23"
".\results\baseline\_f50_census.py","23"
".\scripts\data\generate_vectors.py","22"
".\mt5_analytics\engines\features\rr_engine.py","22"
".\scripts\governance\export_findings.py","22"
".\scripts\extract_folder_structure.py","22"
".\.claude\worktrees\elegant-dubinsky-a2b441\mt5_analytics\engines\features\rr_engine.py","22"
".\.claude\worktrees\elegant-dubinsky-a2b441\mt5_analytics\core\audit.py","22"
".\mt5_analytics\core\audit.py","22"
".\_find_callers.py","22"
".\mt5_analytics\engines\features\_bars.py","21"
".\results\baseline\_p6_probe.py","21"
".\src\bitnet\__init__.py","21"
".\.claude\worktrees\elegant-dubinsky-a2b441\mt5_analytics\engines\features\_bars.py","21"
".\.claude\worktrees\elegant-dubinsky-a2b441\src\core\dynamic_threshold.py","21"
".\.claude\worktrees\xenodochial-rhodes-8e28b3\src\bitnet\__init__.py","21"
".\mt5_analytics\registry\engine_registry.py","20"
".\results\baseline\_p7_sm.py","20"
".\scripts\analysis\gen_pyan.py","20"
".\archive\inout_legacy\ARCHIVED_2026_05_02\__init__.py","20"
".\.claude\worktrees\elegant-dubinsky-a2b441\mt5_analytics\registry\engine_registry.py","20"
".\.claude\worktrees\xenodochial-rhodes-8e28b3\scripts\analysis\gen_pyan.py","20"
".\.claude\worktrees\xenodochial-rhodes-8e28b3\src\inout\__init__.py","20"
".\src\features\formula_registry.py","19"
".\results\baseline\_p8_read.py","19"
".\scripts\data\csv_to_excel.py","18"
".\scripts\data\convert_bnb_to_csv.py","18"
".\src\research\indicators.py","17"
".\src\features\registry\primitive_registry.py","17"
".\src\utils\log_identity.py","17"
".\src\research\provenance.py","17"
".\run_phase_a_tests.py","17"
".\.claude\worktrees\xenodochial-rhodes-8e28b3\scripts\control_plane\run_server.py","17"
".\scripts\control_plane\run_server.py","17"
".\run_tests_capture.py","17"
".\src\engines\gaussian_engine.py","16"
".\src\features\candle_math.py","16"
".\scripts\analysis\compare_bitnet_cpp_python.py","16"
".\.claude\worktrees\xenodochial-rhodes-8e28b3\scripts\analysis\compare.py","16"
".\.claude\worktrees\xenodochial-rhodes-8e28b3\src\engines\gaussian_engine.py","16"
".\scripts\data\verify_output.py","15"
".\scripts\analysis\generate_cli_matrix.py","15"
".\scripts\maintenance\fix_bom.py","15"
".\src\research\costs.py","15"
".\scripts\training\build_stage1_dataset.py","15"
".\.claude\worktrees\elegant-dubinsky-a2b441\scripts\analysis\generate_cli_matrix.py","15"
".\.claude\worktrees\elegant-dubinsky-a2b441\mt5_analytics\analytics_config.py","15"
".\.claude\worktrees\elegant-dubinsky-a2b441\scripts\training\build_stage1_dataset.py","15"
".\mt5_analytics\analytics_config.py","15"
".\.claude\worktrees\xenodochial-rhodes-8e28b3\scripts\analysis\generate_cli_matrix.py","15"
".\src\research\weekly_sweep\__init__.py","14"
".\mt5_analytics\providers\fixture_provider.py","13"
".\results\baseline\_f50_sites.py","13"
".\results\baseline\_p5_fix.py","13"
".\.claude\worktrees\elegant-dubinsky-a2b441\mt5_analytics\analytics\__init__.py","13"
".\.claude\worktrees\elegant-dubinsky-a2b441\mt5_analytics\providers\fixture_provider.py","13"
".\mt5_analytics\analytics\__init__.py","13"
".\scripts\data\test_yf_periods.py","12"
".\scripts\maintenance\_compute_hash.py","12"
".\src\events\__init__.py","12"
".\results\baseline\_p5_load.py","12"
".\.claude\worktrees\elegant-dubinsky-a2b441\mt5_analytics\engines\features\regime_engine.py","12"
".\mt5_analytics\engines\features\regime_engine.py","12"
".\results\baseline\_f50_lines.py","12"
".\results\baseline\_parse_console.py","10"
".\results\baseline\_f50_cp.py","10"
".\mt5_analytics\__init__.py","9"
".\mt5_analytics\engines\features\duration_metrics.py","9"
".\.claude\worktrees\elegant-dubinsky-a2b441\mt5_analytics\__init__.py","9"
".\.claude\worktrees\elegant-dubinsky-a2b441\mt5_analytics\engines\features\duration_metrics.py","9"
".\results\baseline\_f50_vf2.py","8"
".\src\features\registry\_loader.py","7"
".\results\baseline\_f50_claude.py","7"
".\src\research\hypotheses\__init__.py","7"
".\src\research\controls\__init__.py","7"
".\mt5_analytics\providers\candle_provider.py","7"
".\.claude\worktrees\elegant-dubinsky-a2b441\mt5_analytics\providers\candle_provider.py","7"
".\results\baseline\_f50_bt.py","7"
".\results\baseline\_f50_adj.py","7"
".\src\research\adapters\__init__.py","6"
".\results\baseline\_f50_vf.py","5"
".\results\baseline\_p7_smoke.py","5"
".\src\agent\modes\__init__.py","5"
".\results\baseline\_f50_left.py","5"
".\.claude\worktrees\elegant-dubinsky-a2b441\mt5_analytics\core\triggers.py","5"
".\mt5_analytics\core\triggers.py","5"
".\results\baseline\_f50_g2.py","5"
".\results\baseline\_p5_src.py","4"
".\src\control_plane\__init__.py","4"
".\src\multi_llm\tokens.py","4"
".\.claude\worktrees\elegant-dubinsky-a2b441\src\agent\modes\__init__.py","4"
".\.claude\worktrees\xenodochial-rhodes-8e28b3\src\control_plane\__init__.py","4"
".\results\baseline\_f50_imp.py","4"
".\src\research\measurement\__init__.py","3"
".\.claude\worktrees\xenodochial-rhodes-8e28b3\src\agent\modes\__init__.py","3"
".\src\cognitive\__init__.py","2"
".\src\governance\__init__.py","2"
".\audit.py","2"
".\count_audit_tmp.py","2"
".\src\agent\__init__.py","1"
".\src\research\candle_state\__init__.py","1"
