decision,reason,score,regime,selected_engine,bitnet_score,bitnet_decision,candle_idx,confidence_bucket
REJECT,data_integrity_failed,0.0,,,0.9999406933784485,ACCEPT,83,
REJECT,data_integrity_failed,0.0,,,0.9999406933784485,ACCEPT,84,
REJECT,data_integrity_failed,0.0,,,0.9999406933784485,ACCEPT,85,
REJECT,data_integrity_failed,0.0,,,0.9999406933784485,ACCEPT,86,
REJECT,data_integrity_failed,0.0,,,0.9999406933784485,ACCEPT,87,
REJECT,data_integrity_failed,0.0,,,0.9999406933784485,ACCEPT,88,
REJECT,data_integrity_failed,0.0,,,0.9999406933784485,ACCEPT,89,
REJECT,data_integrity_failed,0.0,,,0.9999406933784485,ACCEPT,90,
REJECT,data_integrity_failed,0.0,,,0.9999406933784485,ACCEPT,91,
REJECT,data_integrity_failed,0.0,,,0.9999406933784485,ACCEPT,92,
REJECT,data_integrity_failed,0.0,,,0.9999406933784485,ACCEPT,93,
REJECT,data_integrity_failed,0.0,,,0.9999406933784485,ACCEPT,94,
REJECT,data_integrity_failed,0.0,,,0.9999406933784485,ACCEPT,95,
REJECT,data_integrity_failed,0.0,,,0.9999406933784485,ACCEPT,96,
REJECT,data_integrity_failed,0.0,,,0.9999406933784485,ACCEPT,97,
REJECT,data_integrity_failed,0.0,,,0.9999406933784485,ACCEPT,98,
REJECT,data_integrity_failed,0.0,,,0.9999406933784485,ACCEPT,99,
REJECT,data_integrity_failed,0.0,,,0.9999406933784485,ACCEPT,100,
REJECT,data_integrity_failed,0.0,,,0.9999406933784485,ACCEPT,101,
REJECT,data_integrity_failed,0.0,,,0.9999406933784485,ACCEPT,102,
REJECT,data_integrity_failed,0.0,,,0.9999406933784485,ACCEPT,103,
REJECT,data_integrity_failed,0.0,,,0.9999406933784485,ACCEPT,104,
REJECT,data_integrity_failed,0.0,,,0.9999406933784485,ACCEPT,105,
REJECT,data_integrity_failed,0.0,,,0.9999926090240479,ACCEPT,106,
REJECT,data_integrity_failed,0.0,,,0.9999406933784485,ACCEPT,107,
REJECT,data_integrity_failed,0.0,,,0.9999406933784485,ACCEPT,108,
REJECT,data_integrity_failed,0.0,,,0.9999406933784485,ACCEPT,109,
REJECT,data_integrity_failed,0.0,,,0.9999406933784485,ACCEPT,110,
REJECT,data_integrity_failed,0.0,,,0.9999796748161316,ACCEPT,111,
REJECT,data_integrity_failed,0.0,,,0.9881483316421509,ACCEPT,112,
REJECT,data_integrity_failed,0.0,,,0.778874933719635,ACCEPT,113,
BITNET_REJECT,,,,,0.20613040030002594,,114,MID_REJECT
REJECT,data_integrity_failed,0.0,,,0.9956652522087097,ACCEPT,115,
REJECT,data_integrity_failed,0.0,,,0.9985283017158508,ACCEPT,116,
BITNET_REJECT,,,,,0.0,,117,HIGH_REJECT
BITNET_REJECT,,,,,0.0,,118,HIGH_REJECT
REJECT,data_integrity_failed,0.0,,,0.778874933719635,ACCEPT,119,
REJECT,data_integrity_failed,0.0,,,0.9759719967842102,ACCEPT,120,
BITNET_REJECT,,,,,-0.778874933719635,,121,HIGH_REJECT
REJECT,data_integrity_failed,0.0,,,0.9999406933784485,ACCEPT,122,
REJECT,data_integrity_failed,0.0,,,0.9999406933784485,ACCEPT,123,
REJECT,data_integrity_failed,0.0,,,0.9999406933784485,ACCEPT,124,
REJECT,data_integrity_failed,0.0,,,0.9999406933784485,ACCEPT,125,
REJECT,data_integrity_failed,0.0,,,0.9999406933784485,ACCEPT,126,
REJECT,data_integrity_failed,0.0,,,0.9999406933784485,ACCEPT,127,
REJECT,data_integrity_failed,0.0,,,0.9999406933784485,ACCEPT,128,
REJECT,data_integrity_failed,0.0,,,0.9999406933784485,ACCEPT,129,
REJECT,data_integrity_failed,0.0,,,0.9999406933784485,ACCEPT,130,
REJECT,data_integrity_failed,0.0,,,0.9999406933784485,ACCEPT,131,
REJECT,data_integrity_failed,0.0,,,0.9999406933784485,ACCEPT,132,
REJECT,data_integrity_failed,0.0,,,0.9999406933784485,ACCEPT,133,
REJECT,data_integrity_failed,0.0,,,0.9999406933784485,ACCEPT,134,
REJECT,data_integrity_failed,0.0,,,0.9890112280845642,ACCEPT,135,
BITNET_REJECT,,,,,0.0,,136,HIGH_REJECT
BITNET_REJECT,,,,,0.0,,137,HIGH_REJECT
BITNET_REJECT,,,,,0.0,,138,HIGH_REJECT
BITNET_REJECT,,,,,0.0,,139,HIGH_REJECT
BITNET_REJECT,,,,,0.0,,140,HIGH_REJECT
BITNET_REJECT,,,,,0.0,,141,HIGH_REJECT
REJECT,data_integrity_failed,0.0,,,0.9999406933784485,ACCEPT,142,
REJECT,data_integrity_failed,0.0,,,0.9999406933784485,ACCEPT,143,
REJECT,data_integrity_failed,0.0,,,0.9999406933784485,ACCEPT,144,
BITNET_REJECT,,,,,0.0,,145,HIGH_REJECT
BITNET_REJECT,,,,,0.0,,146,HIGH_REJECT
BITNET_REJECT,,,,,0.0,,147,HIGH_REJECT
BITNET_REJECT,,,,,0.0,,148,HIGH_REJECT
BITNET_REJECT,,,,,-0.2209160327911377,,149,HIGH_REJECT
REJECT,data_integrity_failed,0.0,,,0.9999406933784485,ACCEPT,150,
REJECT,data_integrity_failed,0.0,,,0.9999406933784485,ACCEPT,151,
REJECT,data_integrity_failed,0.0,,,0.9999406933784485,ACCEPT,152,
REJECT,data_integrity_failed,0.0,,,0.9999406933784485,ACCEPT,153,
REJECT,data_integrity_failed,0.0,,,0.9999406933784485,ACCEPT,154,
REJECT,data_integrity_failed,0.0,,,0.9996614456176758,ACCEPT,155,
REJECT,data_integrity_failed,0.0,,,0.9999406933784485,ACCEPT,156,
REJECT,data_integrity_failed,0.0,,,0.9999406933784485,ACCEPT,157,
REJECT,data_integrity_failed,0.0,,,0.9999406933784485,ACCEPT,158,
REJECT,data_integrity_failed,0.0,,,0.9999406933784485,ACCEPT,159,
REJECT,data_integrity_failed,0.0,,,0.9999406933784485,ACCEPT,160,
REJECT,data_integrity_failed,0.0,,,0.9999406933784485,ACCEPT,161,
REJECT,data_integrity_failed,0.0,,,0.9999406933784485,ACCEPT,162,
REJECT,data_integrity_failed,0.0,,,0.9999406933784485,ACCEPT,163,
REJECT,data_integrity_failed,0.0,,,0.9999406933784485,ACCEPT,164,
REJECT,data_integrity_failed,0.0,,,0.9999406933784485,ACCEPT,165,
REJECT,data_integrity_failed,0.0,,,0.9999406933784485,ACCEPT,166,
REJECT,data_integrity_failed,0.0,,,0.9999406933784485,ACCEPT,167,
REJECT,data_integrity_failed,0.0,,,0.9999406933784485,ACCEPT,168,
REJECT,data_integrity_failed,0.0,,,0.9999406933784485,ACCEPT,169,
REJECT,data_integrity_failed,0.0,,,0.9999406933784485,ACCEPT,170,
REJECT,data_integrity_failed,0.0,,,0.9999406933784485,ACCEPT,171,
REJECT,data_integrity_failed,0.0,,,0.9999406933784485,ACCEPT,172,
REJECT,data_integrity_failed,0.0,,,0.9999406933784485,ACCEPT,173,
REJECT,data_integrity_failed,0.0,,,0.9999926090240479,ACCEPT,174,
REJECT,data_integrity_failed,0.0,,,0.9999957084655762,ACCEPT,175,
REJECT,data_integrity_failed,0.0,,,0.9999406933784485,ACCEPT,176,
REJECT,data_integrity_failed,0.0,,,0.9999926090240479,ACCEPT,177,
BITNET_REJECT,,,,,0.29488110542297363,,178,MID_REJECT
BITNET_REJECT,,,,,0.1979026049375534,,179,HIGH_REJECT
REJECT,data_integrity_failed,0.0,,,0.9451223015785217,ACCEPT,180,
BITNET_REJECT,,,,,-0.8150305151939392,,181,HIGH_REJECT
BITNET_REJECT,,,,,0.0,,182,HIGH_REJECT
BITNET_REJECT,,,,,0.38612934947013855,,183,MID_REJECT
BITNET_REJECT,,,,,0.0,,184,HIGH_REJECT
BITNET_REJECT,,,,,-0.9432547092437744,,185,HIGH_REJECT
