date,total_opps,long,short,win_rate,avg_rr,tp_hits,sl_hits,timeouts,sweep_count,double_sweep,displacement_count,retest_avg_depth,avg_regime,avg_volatility_ratio,avg_trend_bias
2020-03-13,128,64,64,0.32,-0.039,41,87,0,30,18,30,0.5126,2.0,1.087,-0.656
2020-03-15,64,32,32,0.422,0.266,27,37,0,2,0,12,0.0641,2.0,0.903,0.0
2020-03-16,192,96,96,0.317,0.047,52,112,28,18,0,38,0.4443,1.98,0.968,0.354
2020-03-17,192,96,96,0.337,0.071,62,122,8,6,0,38,0.9534,1.97,1.013,-0.271
2020-03-18,192,96,96,0.385,0.156,74,118,0,8,0,48,0.548,1.97,1.077,-0.354
2020-03-19,192,96,96,0.377,0.127,72,119,1,18,12,34,0.46,2.0,1.028,-0.604
2020-03-20,128,64,64,0.299,-0.108,38,89,1,18,8,36,0.501,2.0,1.033,-0.406
2020-03-22,64,32,32,0.406,0.219,26,38,0,4,0,14,0.792,2.0,0.875,0.312
2020-03-23,192,96,96,0.302,-0.094,58,134,0,20,0,42,0.5628,2.0,1.024,0.271
2020-03-24,192,96,96,0.288,-0.139,55,136,1,12,2,36,0.5934,2.0,0.99,0.312
2020-03-25,192,96,96,0.286,-0.141,55,137,0,30,18,38,0.4276,2.0,1.006,0.667
2020-03-26,192,96,96,0.333,0.017,62,124,6,16,6,46,0.453,2.0,1.051,1.0
2020-03-27,128,64,64,0.32,-0.039,41,87,0,10,6,24,0.5193,2.0,1.0,-0.031
2020-03-29,48,24,24,0.271,-0.188,13,35,0,8,6,6,0.4324,2.0,0.78,0.25
2020-03-30,192,96,96,0.292,-0.125,56,136,0,26,10,34,0.5295,2.0,1.02,-0.646
2020-03-31,192,96,96,0.348,0.079,63,118,11,12,0,42,0.4683,1.95,1.016,-0.104
2020-04-01,192,96,96,0.304,-0.085,58,133,1,26,16,44,0.3841,1.98,0.981,-0.354
2020-04-02,192,96,96,0.367,0.109,66,114,12,20,0,40,0.4344,1.65,1.024,-0.708
2020-04-03,136,68,68,0.244,-0.256,33,102,1,12,0,40,0.6221,1.82,1.074,-0.647
2020-04-05,56,28,28,0.179,-0.464,10,46,0,12,4,2,0.2758,1.71,0.781,1.0
2020-04-06,192,96,96,0.276,-0.148,50,131,11,16,0,40,0.3528,1.6,1.009,-0.167
2020-04-07,192,96,96,0.293,-0.111,56,135,1,14,2,42,0.314,1.62,1.035,0.417
2020-04-08,192,96,96,0.302,-0.09,57,132,3,34,14,40,0.322,1.46,1.02,-0.292
2020-04-09,192,96,96,0.308,-0.043,53,119,20,20,4,40,0.5083,1.58,0.999,0.375
2020-04-10,136,68,68,0.309,-0.074,42,94,0,14,2,24,0.3474,0.41,0.976,0.382
2020-04-12,56,28,28,0.268,-0.196,15,41,0,10,14,14,0.4479,0.5,0.965,-1.0
2020-04-13,192,96,96,0.344,0.031,66,126,0,4,0,38,0.3442,1.34,1.039,-0.021
2020-04-14,192,96,96,0.343,0.046,62,119,11,20,6,34,0.4673,1.39,0.98,0.708
2020-04-15,192,96,96,0.38,0.141,73,119,0,14,0,54,0.7776,1.31,1.06,-0.604
2020-04-16,192,96,96,0.307,-0.078,59,133,0,22,2,42,0.4237,1.61,1.006,-0.229
2020-04-17,136,68,68,0.256,-0.113,31,90,15,18,4,32,0.322,1.75,1.024,0.235
2020-04-19,56,28,28,0.286,-0.143,16,40,0,8,10,12,0.2571,1.0,0.917,-0.643
2020-04-20,192,96,96,0.344,0.031,66,126,0,12,0,44,0.5143,1.25,1.043,-0.354
2020-04-21,192,96,96,0.23,-0.257,40,134,18,28,20,24,0.2926,1.3,0.988,-0.104
2020-04-22,192,96,96,0.354,0.067,67,122,3,16,4,40,0.3337,1.17,1.018,-0.354
2020-04-23,192,96,96,0.324,0.022,59,123,10,10,0,46,0.5675,1.48,1.017,-0.521
2020-04-24,136,68,68,0.368,0.103,50,86,0,20,0,18,0.5217,1.54,1.094,0.235
2020-04-26,56,28,28,0.25,-0.25,14,42,0,8,0,6,0.8171,0.68,0.905,1.0
2020-04-27,192,96,96,0.287,-0.108,52,129,11,16,2,36,0.4933,1.23,0.991,-0.042
2020-04-28,192,96,96,0.328,-0.01,62,127,3,6,0,48,0.2591,1.16,1.052,-0.167
2020-04-29,192,96,96,0.344,0.031,66,126,0,10,4,34,0.474,1.4,1.012,0.271
2020-04-30,192,96,96,0.355,0.079,60,109,23,16,16,30,0.4933,1.42,1.038,0.333
2020-05-01,136,68,68,0.346,0.037,47,89,0,18,2,30,0.3533,1.51,1.045,0.618
2020-05-03,56,28,28,0.446,0.339,25,31,0,8,4,8,0.7926,1.0,0.923,-1.0
2020-05-04,192,96,96,0.324,0.017,57,119,16,16,4,38,0.3908,1.09,1.02,-0.708
2020-05-05,192,96,96,0.319,-0.045,58,124,10,12,8,38,0.3389,1.12,1.028,-0.812
2020-05-06,192,96,96,0.308,-0.051,57,128,7,10,0,38,0.1117,1.07,1.005,-0.542
2020-05-07,192,96,96,0.323,-0.031,62,130,0,26,16,32,0.4547,1.31,1.048,0.229
2020-05-08,136,68,68,0.346,0.032,46,87,3,16,10,26,0.4642,1.1,1.031,0.088
2020-05-10,56,28,28,0.375,0.125,21,35,0,2,0,12,0.714,0.64,0.888,0.071
2020-05-11,192,96,96,0.391,0.172,75,117,0,12,0,32,0.4503,1.1,1.049,-0.729
2020-05-12,192,96,96,0.3,-0.03,51,119,22,10,0,42,0.2792,1.11,1.006,0.333
2020-05-13,192,96,96,0.289,-0.064,52,128,12,26,6,34,0.3735,1.0,1.028,-0.583
2020-05-14,192,96,96,0.319,-0.001,58,124,10,34,26,28,0.2859,1.0,1.008,-0.083
2020-05-15,136,68,68,0.252,-0.139,30,89,17,16,16,18,0.3781,1.26,1.085,0.235
2020-05-17,56,28,28,0.214,-0.357,12,44,0,10,2,8,0.4347,0.5,0.89,1.0
2020-05-18,192,96,96,0.329,0.018,56,114,22,20,16,38,0.2369,0.96,1.046,0.292
2020-05-19,192,96,96,0.365,0.094,70,122,0,16,0,46,0.2069,1.1,1.036,0.042
2020-05-20,192,96,96,0.344,0.05,65,124,3,12,10,40,0.5188,0.98,1.015,0.396
2020-05-21,192,96,96,0.308,-0.078,57,128,7,6,0,46,0.3431,1.05,1.054,-0.375
2020-05-22,136,68,68,0.308,-0.08,41,92,3,4,0,24,0.4221,1.25,0.988,-0.765
2020-05-24,56,28,28,0.375,0.125,21,35,0,8,0,18,0.4561,0.0,0.948,0.143
2020-05-25,192,96,96,0.323,-0.005,60,126,6,20,10,32,0.5982,0.4,1.021,-0.021
2020-05-26,192,96,96,0.351,0.061,67,124,1,18,0,44,0.3701,1.14,1.024,0.604
2020-05-27,192,96,96,0.375,0.125,72,120,0,10,6,54,0.5436,1.31,1.042,0.312
2020-05-28,192,96,96,0.353,0.066,67,123,2,20,4,30,0.438,1.43,0.997,0.479
2020-05-29,136,68,68,0.353,0.059,48,88,0,26,10,30,0.4094,1.74,1.098,0.294
2020-05-31,56,28,28,0.393,0.179,22,34,0,4,0,8,0.7141,1.25,0.824,1.0
2020-06-01,192,96,96,0.33,0.01,58,118,16,28,14,36,0.3674,1.17,1.015,0.333
2020-06-02,192,96,96,0.318,-0.047,61,131,0,16,0,40,0.5298,1.27,1.066,0.417
2020-06-03,192,96,96,0.356,0.077,68,123,1,24,16,36,0.3901,1.35,0.997,0.271
2020-06-04,192,96,96,0.318,-0.033,57,122,13,18,4,46,0.3271,1.42,1.042,0.167
2020-06-05,136,68,68,0.328,0.028,42,86,8,6,0,26,0.0909,1.76,1.063,-0.441
2020-06-07,56,28,28,0.268,-0.196,15,41,0,0,0,16,0.0,1.14,0.919,-0.071
2020-06-08,192,96,96,0.297,-0.116,54,128,10,14,0,46,0.6241,1.26,1.031,-0.104
2020-06-09,192,96,96,0.314,-0.022,53,116,23,22,0,40,0.2507,1.1,1.011,0.271
2020-06-10,192,96,96,0.263,-0.202,50,140,2,12,0,46,0.5458,1.62,1.113,0.5
2020-06-11,192,96,96,0.358,0.078,67,120,5,18,0,36,0.6887,1.8,0.986,-0.458
2020-06-12,136,68,68,0.324,-0.029,44,92,0,12,0,28,0.1153,1.82,1.046,-0.265
2020-06-14,56,28,28,0.25,-0.25,14,42,0,10,4,16,0.4535,1.64,0.874,0.214
2020-06-15,192,96,96,0.375,0.125,72,120,0,18,4,30,0.5297,1.62,1.029,0.708
2020-06-16,192,96,96,0.275,-0.133,47,124,21,34,20,36,0.5683,1.43,0.994,-0.458
2020-06-17,192,96,96,0.29,-0.094,54,132,6,16,0,38,0.3762,1.3,1.041,0.125
2020-06-18,192,96,96,0.284,-0.085,50,126,16,26,2,28,0.5715,1.27,0.984,-0.333
2020-06-19,136,68,68,0.341,0.032,42,81,13,10,0,40,0.3155,1.28,1.06,0.029
2020-06-21,56,28,28,0.446,0.339,25,31,0,0,0,10,0.0,1.0,0.898,-0.214
2020-06-22,192,96,96,0.349,0.047,67,125,0,18,10,48,0.4134,1.14,1.076,0.875
2020-06-23,192,96,96,0.348,0.049,65,122,5,18,18,34,0.36,1.29,0.986,0.417
2020-06-24,192,96,96,0.295,-0.1,56,134,2,26,8,38,0.379,1.26,1.019,-0.771
2020-06-25,192,96,96,0.296,-0.066,53,126,13,24,8,32,0.534,1.2,0.996,-0.479
2020-06-26,136,68,68,0.324,-0.029,44,92,0,18,6,26,0.4961,1.31,1.044,0.206
2020-06-28,56,28,28,0.411,0.232,23,33,0,4,0,14,0.6515,0.64,0.997,0.143
2020-06-29,192,96,96,0.356,0.074,68,123,1,6,0,50,0.6454,0.88,1.007,0.292
2020-06-30,192,96,96,0.307,-0.013,54,122,16,6,0,46,0.492,1.14,1.033,-0.146
2020-07-01,192,96,96,0.335,0.032,60,119,13,12,8,34,0.4906,1.06,1.006,0.25
2020-07-02,192,96,96,0.318,0.008,56,120,16,16,0,42,0.3564,0.91,1.034,0.062
2020-07-03,136,68,68,0.235,-0.294,32,104,0,22,18,24,0.2836,0.79,1.033,-0.059
2020-07-05,56,28,28,0.482,0.446,27,29,0,4,4,10,0.5309,0.57,0.923,1.0
2020-07-06,192,96,96,0.353,0.065,67,123,2,12,0,46,0.6628,1.11,1.021,0.417
2020-07-07,192,96,96,0.37,0.109,71,121,0,24,14,44,0.6649,1.17,1.02,-0.438
2020-07-08,192,96,96,0.332,0.0,61,123,8,20,6,46,0.3504,1.06,1.05,0.75
2020-07-09,192,96,96,0.308,0.007,56,126,10,12,0,38,0.3223,1.22,1.003,-0.604
2020-07-10,136,68,68,0.311,-0.07,42,93,1,24,0,28,0.5492,1.22,1.033,0.206
2020-07-12,56,28,28,0.375,0.125,21,35,0,0,0,12,0.7586,0.25,0.966,0.857
2020-07-13,192,96,96,0.314,-0.038,58,127,7,16,6,36,0.3294,1.21,1.018,0.062
2020-07-14,192,96,96,0.266,-0.203,51,141,0,18,10,34,0.363,1.21,1.033,0.562
2020-07-15,192,96,96,0.296,-0.107,53,126,13,16,14,36,0.3427,1.03,1.019,-0.042
2020-07-16,192,96,96,0.293,-0.115,55,133,4,14,0,38,0.557,1.16,1.002,-0.417
2020-07-17,136,68,68,0.368,0.103,50,86,0,24,6,32,0.4772,1.09,1.064,0.824
2020-07-19,56,28,28,0.393,0.179,22,34,0,6,0,14,0.4672,1.32,0.991,-0.5
2020-07-20,192,96,96,0.406,0.247,76,111,5,14,0,46,0.3557,1.27,1.04,0.417
2020-07-21,192,96,96,0.344,0.031,66,126,0,10,0,38,0.4197,1.55,0.974,0.312
2020-07-22,192,96,96,0.273,-0.113,47,125,20,22,12,42,0.4462,1.34,1.017,-0.021
2020-07-23,192,96,96,0.356,0.07,68,123,1,20,4,40,0.3241,1.4,1.04,0.458
2020-07-24,136,68,68,0.331,-0.007,45,91,0,22,2,18,0.5421,1.68,1.027,0.294
2020-07-26,56,28,28,0.411,0.232,23,33,0,8,6,14,0.0548,1.5,1.025,1.0
2020-07-27,192,96,96,0.339,0.02,64,125,3,16,4,50,0.5893,1.6,1.023,0.604
2020-07-28,192,96,96,0.276,-0.14,50,131,11,18,10,28,0.2931,1.46,0.959,-0.375
2020-07-29,192,96,96,0.388,0.182,73,115,4,16,6,42,0.4868,1.56,1.047,0.5
2020-07-30,192,96,96,0.339,0.016,65,127,0,22,0,30,0.6898,1.59,1.061,0.271
2020-07-31,136,68,68,0.368,0.103,50,86,0,10,0,22,0.7824,1.97,1.013,-0.5
2020-08-02,56,28,28,0.25,-0.25,14,42,0,2,0,10,0.6092,1.64,1.008,-1.0
2020-08-03,192,96,96,0.324,0.016,60,125,7,20,0,34,0.6537,1.34,0.989,0.125
2020-08-04,192,96,96,0.385,0.156,74,118,0,24,0,42,0.484,1.4,1.018,0.604
2020-08-05,192,96,96,0.354,0.072,67,122,3,18,2,52,0.6212,1.27,1.043,0.521
2020-08-06,192,96,96,0.314,-0.051,60,131,1,26,16,36,0.33,1.57,1.065,0.042
